district,state,district_census_code,state_census_code,total,rural,urban
Kupwara,Jammu & Kashmir,1,1,3903,3943,
Badgam,Jammu & Kashmir,2,1,5465,5451,
Leh(Ladakh),Jammu & Kashmir,3,1,2942,2994,2876
Kargil,Jammu & Kashmir,4,1,2323,2635,
Punch,Jammu & Kashmir,5,1,4146,4171,
Rajouri,Jammu & Kashmir,6,1,5523,5510,
Kathua,Jammu & Kashmir,7,1,3380,3348,
Baramula,Jammu & Kashmir,8,1,3607,3130,
Bandipore,Jammu & Kashmir,9,1,3984,4151,
Srinagar,Jammu & Kashmir,10,1,3794,,3767
Ganderbal,Jammu & Kashmir,11,1,5486,5253,
Pulwama,Jammu & Kashmir,12,1,3169,3041,
Shupiyan,Jammu & Kashmir,13,1,3780,3424,
Anantnag,Jammu & Kashmir,14,1,3568,3608,
Kulgam,Jammu & Kashmir,15,1,3917,3998,
Doda,Jammu & Kashmir,16,1,7512,7670,
Ramban,Jammu & Kashmir,17,1,6127,6234,
Kishtwar,Jammu & Kashmir,18,1,5042,4953,
Udhampur,Jammu & Kashmir,19,1,3100,3170,
Reasi,Jammu & Kashmir,20,1,4137,4528,
Jammu,Jammu & Kashmir,21,1,4300,2918,6237
Samba,Jammu & Kashmir,22,1,4551,4532,
Chamba,Himachal Pradesh,23,2,2778,2930,
Kangra,Himachal Pradesh,24,2,2432,2409,
Lahul and Spiti,Himachal Pradesh,25,2,4472,4472,
Kullu,Himachal Pradesh,26,2,2927,3098,
Mandi,Himachal Pradesh,27,2,3443,3195,
Hamirpur,Himachal Pradesh,28,2,4155,4284,
Una,Himachal Pradesh,29,2,4418,4507,
Bilaspur,Himachal Pradesh,30,2,4743,4908,
Solan,Himachal Pradesh,31,2,2313,2394,
Sirmaur,Himachal Pradesh,32,2,2862,2813,
Shimla,Himachal Pradesh,33,2,4036,3396,
Kinnaur,Himachal Pradesh,34,2,5033,5033,
Gurdaspur,Punjab,35,3,1631,1960,
Kapurthala,Punjab,36,3,2679,-3131,-1849
Jalandhar,Punjab,37,3,3135,-4245,-2094
Hoshiarpur,Punjab,38,3,1057,1146,
Sahid Bhagat Singh Nagar,Punjab,39,3,1917,1535,*
Fatehgarh Sahib,Punjab,40,3,3862,-4448,-2376
Ludhiana,Punjab,41,3,1269,1481,-1004
Moga,Punjab,42,3,995,1055,
Firozpur,Punjab,43,3,1119,1098,
Muktsar,Punjab,44,3,1494,1454,
Faridkot,Punjab,45,3,1984,2195,1546
Bathinda,Punjab,46,3,1427,1588,1222
Mansa,Punjab,47,3,1553,1629,
Patiala,Punjab,48,3,2216,2480,1822
Amritsar,Punjab,49,3,1949,2300,-1361
Tarn Taran,Punjab,50,3,1408,1450,
Rup Nagar,Punjab,51,3,2258,2254,
Sahibzada Ajit Singh Nagar,Punjab,52,3,2607,3314,2004
Sangrur,Punjab,53,3,2973,2940,
Barnala,Punjab,54,3,2227,2129,2459
Uttarkashi,Uttarakhand,56,5,2483,2492,
Chamoli,Uttarakhand,57,5,2097,2110,
Rudraprayag,Uttarakhand,58,5,3455,3406,
Tehri Garhwal,Uttarakhand,59,5,1430,1228,
Dehradun,Uttarakhand,60,5,1954,1858,2042
Garhwal,Uttarakhand,61,5,1478,1475,
Pithoragarh,Uttarakhand,62,5,1221,1213,
Bageshwar,Uttarakhand,63,5,2299,2317,
Almora,Uttarakhand,64,5,3017,1834,
Champawat,Uttarakhand,65,5,1943,1630,
Nainital,Uttarakhand,66,5,5122,7058,2969
Udham Singh Nagar,Uttarakhand,67,5,2899,3384,2055
Hardwar,Uttarakhand,68,5,2043,1946,2136
Panchkula,Haryana,69,6,896,922,-872
Ambala,Haryana,70,6,785,1026,476
Yamunanagar,Haryana,71,6,1044,1015,1082
Kurukshetra,Haryana,72,6,923,973,
Kaithal,Haryana,73,6,519,392,
Karnal,Haryana,74,6,728,674,931
Panipat,Haryana,75,6,1927,-575,2871
Sonipat,Haryana,76,6,2589,2406,-3094
Jind,Haryana,77,6,1099,845,
Fatehabad,Haryana,78,6,850,940,
Sirsa,Haryana,79,6,500,415,
Hisar,Haryana,80,6,949,688,-2231
Bhiwani,Haryana,81,6,1108,631,
Rohtak,Haryana,82,6,1909,2387,1017
Jhajjar,Haryana,83,6,1217,586,
Mahendragarh,Haryana,84,6,1081,1190,
Rewari,Haryana,85,6,1369,1646,
Gurgaon,Haryana,86,6,2843,3167,-2716
Mewat,Haryana,87,6,1864,1762,
Faridabad,Haryana,88,6,3856,,4235
Palwal,Haryana,89,6,2306,1763,
North West,NCT Delhi,90,7,2938,,-2940
North,NCT Delhi,91,7,3427,,3459
North East,NCT Delhi,92,7,2622,,2622
East,NCT Delhi,93,7,12335,,12335
New Delhi,NCT Delhi,94,7,6933,,6933
Central,NCT Delhi,95,7,18577,,18577
West,NCT Delhi,96,7,27361,,27361
South West,NCT Delhi,97,7,3382,,3289
South,NCT Delhi,98,7,11932,,11932
Ganganagar,Rajasthan,99,8,662,729,
Hanumangarh,Rajasthan,100,8,1130,1161,
Bikaner,Rajasthan,101,8,2495,2457,2567
Churu,Rajasthan,102,8,1330,1451,
Jhunjhunun,Rajasthan,103,8,882,987,
Alwar,Rajasthan,104,8,1487,1481,
Bharatpur,Rajasthan,105,8,1796,1808,
Dhaulpur,Rajasthan,106,8,907,837,
Karauli,Rajasthan,107,8,1781,1896,
