,district,state,district_census_code,state_census_code,total,rural,urban
331,Murshidabad,West Bengal,333,19,29.5,31.6,
300,Goalpara,Assam,302,18,27.2,30.5,
288,South Tripura,Tripura,290,16,26.2,28.5,
299,Dhubri,Assam,301,18,25.6,27.5,
332,Birbhum,West Bengal,334,19,24.9,27.7,
330,Maldah,West Bengal,332,19,24.9,23.7,
462,Jhabua,Madhya Pradesh,464,23,24.4,27.2,
487,The Dangs,Gujarat,489,24,23.8,25.6,
327,Koch Bihar,West Bengal,329,19,23.6,24.1,
348,Deoghar,Jharkhand,350,20,22.6,26.9,
317,Bongaigaon,Assam,319,18,22.3,23.9,
334,Nadia,West Bengal,336,19,21.9,26.0,
349,Godda,Jharkhand,351,20,21.7,23.4,
338,Puruliya,West Bengal,340,19,21.7,22.2,
511,Jalna,Maharashtra,514,27,21.5,23.5,
302,Morigaon,Assam,304,18,20.6,21.1,
289,Dhalai,Tripura,291,16,20.2,20.0,
201,Pashchim Champaran,Bihar,203,10,19.9,23.4,
343,Purba Medinipur,West Bengal,345,19,19.6,21.7,
336,Hugli,West Bengal,338,19,19.6,18.2,22
329,Dakshin Dinajpur,West Bengal,331,19,19.5,20.2,
341,South Twenty Four Parganas,West Bengal,343,19,19.3,19.9,
219,Samastipur,Bihar,221,10,19.3,20.0,
211,Madhepura,Bihar,213,10,19.2,20.2,
344,Garhwa,Jharkhand,346,20,18.9,19.6,
318,Chirang,Assam,320,18,18.9,19.6,
244,West Kameng,Arunachal Pradesh,246,12,18.8,19.8,
335,North Twenty Four Parganas,West Bengal,337,19,18.7,23.4,-13.3
206,Supaul,Bihar,208,10,18.6,17.9,
520,Bid,Maharashtra,523,27,18.2,13.5,
540,Vizianagaram,Andhra Pradesh,543,28,17.8,19.4,
202,Purba Champaran,Bihar,204,10,17.7,18.0,
361,Jamtara,Jharkhand,363,20,17.5,19.0,
328,Uttar Dinajpur,West Bengal,330,19,17.4,15.3,
351,Pakur,Jharkhand,353,20,17.2,16.5,
546,Prakasam,Andhra Pradesh,549,28,17.1,21.7,
422,Tikamgarh,Madhya Pradesh,424,23,17.1,18.0,
574,Mysore,Karnataka,577,29,17.0,20.0,13.1
290,North Tripura,Tripura,292,16,16.9,18.5,
538,Khammam,Telangana,541,28,16.9,18.9,
221,Khagaria,Bihar,223,10,16.8,17.6,
245,East Kameng,Arunachal Pradesh,247,12,16.6,14.1,
337,Bankura,West Bengal,339,19,16.6,17.5,
323,Darrang,Assam,325,18,16.5,17.5,
303,Nagaon,Assam,305,18,16.3,18.1,
523,Solapur,Maharashtra,526,27,16.2,20.8,4.5
301,Barpeta,Assam,303,18,16.2,16.7,
312,Karbi Anglong,Assam,314,18,16.2,17.0,
347,Giridih,Jharkhand,349,20,16.2,16.2,
374,Mayurbhanj,Odisha,376,21,16.1,17.7,
383,Nayagarh,Odisha,385,21,15.9,15.6,
342,Paschim Medinipur,West Bengal,344,19,15.6,16.9,
220,Begusarai,Bihar,222,10,15.4,17.9,
536,Nalgonda,Telangana,539,28,15.4,16.4,
509,Hingoli,Maharashtra,512,27,15.3,15.4,
287,West Tripura,Tripura,289,16,15.2,15.7,14.5
535,Mahbubnagar,Telangana,538,28,15.1,16.0,
373,Kendujhar,Odisha,375,21,15.0,16.9,
489,Valsad,Gujarat,491,24,15.0,17.6,9.4
512,Aurangabad,Maharashtra,515,27,14.9,19.0,10.2
236,Jamui,Bihar,238,10,14.9,14.7,
234,Gaya,Bihar,236,10,14.9,14.1,
480,Anand,Gujarat,482,24,14.8,17.8,8.2
360,Dumka,Jharkhand,362,20,14.8,16.4,
367,Saraikela Kharsawan,Jharkhand,369,20,14.8,16.9,
439,Barwani,Madhya Pradesh,441,23,14.8,17.3,
227,Nalanda,Bihar,229,10,14.7,16.3,
551,Chittoor,Andhra Pradesh,554,28,14.7,14.0,
